PM2.5,PM10,NOx,CO,Datetime
0.05042858518732544,0.27342434340177,0.0,0.013793103448275864,2017-01-01 12:00:00
0.02897043243763845,0.39517718298756677,0.0,0.011238825031928482,2017-01-02 12:00:00
0.04270442068766253,0.3324375649432083,0.08162479969028243,0.025031928480204343,2017-01-03 12:00:00
0.06726379659058077,0.38184814934250605,0.0,0.01430395913154534,2017-01-04 12:00:00
0.060579793893864975,0.3889784657279014,0.0,0.017879948914431672,2017-01-05 12:00:00
0.09866127323509585,0.3089330439001045,0.13817424623950741,0.02579821200510856,2017-01-06 12:00:00
0.07589328710391989,0.2892127875646816,0.11849699725052167,0.024787014287154924,2017-01-07 12:00:00
0.05701627660599057,0.4341251925902039,0.0,0.0173690932311622,2017-01-08 12:00:00
0.06614658576519311,0.41019026120606256,0.0,0.019412515964240103,2017-01-09 12:00:00
0.08718096889145721,0.3974703500662869,0.0,0.01277139208173691,2017-01-10 12:00:00
0.0634883944909949,0.39023254147407643,0.09512115882547097,0.023243933588761177,2017-01-11 12:00:00
0.037561398439757296,0.27771905782560213,0.0,0.0,2017-01-12 12:00:00
0.09608013098333816,0.30664880572114994,0.13595928596932874,0.02507031356690685,2017-01-13 12:00:00
0.024501589136087836,0.2633589477964737,0.0,0.0,2017-01-14 12:00:00
0.04349417316767794,0.28424252963824453,0.0,0.0,2017-01-15 12:00:00
0.05119907541173072,0.40997527679243256,0.08116547021607437,0.016091954022988506,2017-01-16 12:00:00
0.07362034094192431,0.4196495754057831,0.10151506701266137,0.025031928480204343,2017-01-17 12:00:00
0.07381374683426524,0.4003726396502921,0.10375864478760936,0.03269476372924649,2017-01-18 12:00:00
0.06967157854184726,0.3281020459350031,0.10756510524071361,0.056449553001277145,2017-01-19 12:00:00
0.08720023114706733,0.399082733168512,0.0,0.01430395913154534,2017-01-20 12:00:00
0.05802916758256122,0.27378299439377396,0.10304389236397285,0.024536319929457696,2017-01-21 12:00:00
0.041465337595739477,0.35816403310759976,0.0,0.01277139208173691,2017-01-22 12:00:00
0.02789174612347106,0.6742269518793221,0.0,0.01277139208173691,2017-01-23 12:00:00
0.11054608494654725,0.47045755849367593,0.13129571157353073,0.026564495530012774,2017-01-24 12:00:00
0.0569777520947703,0.3705614676269304,0.0,0.037037037037037035,2017-01-25 12:00:00
0.042376962342290284,0.34214769429216385,0.0,0.18901660280970628,2017-01-26 12:00:00
0.04370605797938939,0.38593285320147624,0.0,0.21379310344827585,2017-01-27 12:00:00
